gene_id,CLIP-35L33G,RNA-control,RNA-siLin28a,RNA-siLuc,RPF-siLin28a,RPF-siLuc
ENSMUSG00000042182.17|Bend6,0,0,10,8,1,2
ENSMUSG00000104416.2|Gm37067,0,0,1,0,0,1
MSTRG.441,1086,50,10083,7174,754,8
MSTRG.443|Gm28631,0,1,0,1,0,0
MSTRG.441|Dst,22339,2364,441,329,716,1094
MSTRG.441|Mir6896,0,0,0,0,0,0
MSTRG.442|Gm37354,6,1,7,5,1,0
MSTRG.444|Gm23792,1,1,1,0,1,1
MSTRG.445|Gm38157,15,6,11,16,1,2
MSTRG.446|Gm26788,64,19,42,39,4,6
MSTRG.447|A930005N03Rik,4,1,3,6,1,1
MSTRG.294|Arhgef4,30,36,98,79,15,20
MSTRG.295|Gm37224,0,0,0,0,0,0
MSTRG.296|Gm37845,0,0,0,0,0,0
MSTRG.294|RP23-348C6.8,0,0,1,0,2,2
MSTRG.298|Fam168b,1176,475,1290,1159,71,99
MSTRG.298,0,0,0,3,0,1
MSTRG.292|Plekhb2,146,100,228,185,47,69
MSTRG.297|Gm38336,19,10,15,12,1,1
MSTRG.299|Gm37127,20,7,11,10,2,0
ENSMUSG00000064601.3|Gm25634,0,0,0,0,0,0
ENSMUSG00000101714.2|Gm28415,0,0,0,0,0,0
ENSMUSG00000102531.2|1110002O04Rik,0,0,0,0,0,0
MSTRG.293|Gm8022,4,1,4,5,10,23
MSTRG.303|Kansl3,492,333,883,848,205,282
MSTRG.303,0,0,0,0,0,0
MSTRG.303|Mir6898,3,0,0,0,0,0
MSTRG.319|Gm33280,0,0,0,0,0,0
MSTRG.317|Uggt1,4728,628,3072,2201,2708,2507
MSTRG.317,318,203,133,0,1991,758
MSTRG.320|Mir6897,0,1,0,0,0,0
ENSMUSG00000047180.9|Neurl3,0,0,0,0,0,0
MSTRG.300|Arid5a,36,37,78,57,17,28
ENSMUSG00000102762.2|4930403P22Rik,0,0,3,0,1,1
MSTRG.315|Hs6st1,814,409,1447,749,246,143
MSTRG.316,21,5,11,8,0,0
MSTRG.318|Gm37335,2,4,9,4,1,1
MSTRG.306|Fer1l5,90,16,67,27,0,0
MSTRG.307|Lman2l,276,76,260,223,138,118
MSTRG.306,0,0,6,4,0,0
MSTRG.302|Gm37909,0,2,0,4,0,0
MSTRG.304|Cnnm3,334,151,352,236,165,134
MSTRG.305|Gm38033,0,0,0,0,0,0
MSTRG.308|Ankrd23,0,0,0,0,0,0
MSTRG.308|Gm42417,0,0,0,0,0,0
MSTRG.308|Ankrd39,12,43,125,80,17,25
MSTRG.322|Sema4c,0,25,71,0,41,16
MSTRG.322,0,5,0,0,0,0
MSTRG.323|D430040D24Rik,0,0,14,4,2,0
